gameDate,player1Odds,player2Odds,playersNames,score,tournamentName
07 Sep 2013,1.18,1.18,Wright P. - Hurtz M.,6:3,European Tour 6 2013 Results & Historical Odds
07 Sep 2013,1.11,1.11,van Gerwen M. - Osborne C.,6:0,European Tour 6 2013 Results & Historical Odds
27 Apr 2012,1.31,1.31,Painter K. - Haines J.,6:2,European Tour 1 2012 Results & Historical Odds
27 Apr 2012,1.40,2.72,Part J. - Dudbridge M.,5:6,European Tour 1 2012 Results & Historical Odds
07 Sep 2013,2.72,1.44,Smith D. - Pipe J.,1:6,European Tour 6 2013 Results & Historical Odds
07 Sep 2013,1.67,2.13,Newton W. - Painter K.,4:6,European Tour 6 2013 Results & Historical Odds
27 Apr 2012,1.35,1.35,Pipe J. - Suljovic M.,6:2,European Tour 1 2012 Results & Historical Odds
27 Apr 2012,2.20,1.58,Smith A. - Huybrechts K.,3:6,European Tour 1 2012 Results & Historical Odds
07 Sep 2013,1.27,1.27,Whitlock S. - Dudbridge M.,6:1,European Tour 6 2013 Results & Historical Odds
07 Sep 2013,1.40,1.40,Nicholson P. - Edgar M.,6:2,European Tour 6 2013 Results & Historical Odds
27 Apr 2012,1.20,1.20,van Barneveld R. - Monk A.,6:4,European Tour 1 2012 Results & Historical Odds
27 Apr 2012,1.13,1.13,Wade J. - Jiwa P.,6:3,European Tour 1 2012 Results & Historical Odds
07 Sep 2013,1.38,1.38,Chisnall D. - Monk A.,6:5,European Tour 6 2013 Results & Historical Odds
27 Apr 2012,1.11,1.11,Whitlock S. - Michels M.,6:4,European Tour 1 2012 Results & Historical Odds
07 Sep 2013,1.52,2.42,Baxter R. - Gurney D.,3:6,European Tour 6 2013 Results & Historical Odds
27 Apr 2012,1.21,1.21,Beaton S. - Todd M.,6:3,European Tour 1 2012 Results & Historical Odds
07 Sep 2013,1.65,2.18,White I. - Brown S.,2:6,European Tour 6 2013 Results & Historical Odds
07 Sep 2013,1.59,2.27,King M. - Beaton S.,5:6,European Tour 6 2013 Results & Historical Odds
27 Apr 2012,1.03,1.03,Chisnall D. - Kurecka M.,6:1,European Tour 1 2012 Results & Historical Odds
27 Apr 2012,1.83,1.83,Nicholson P. - Winstanley D.,3:6,European Tour 1 2012 Results & Historical Odds
07 Sep 2013,1.33,1.33,Caven J. - Hopp M.,6:3,European Tour 6 2013 Results & Historical Odds
07 Sep 2013,2.22,1.62,Webster D. - Smith A.,1:6,European Tour 6 2013 Results & Historical Odds
27 Apr 2012,1.12,1.12,Tabern A. - Lerchbacher Z.,6:2,European Tour 1 2012 Results & Historical Odds
27 Apr 2012,1.44,1.44,Webster M. - Klaasen J.,6:3,European Tour 1 2012 Results & Historical Odds
07 Sep 2013,1.83,1.83,Klaasen J. - Jenkins T.,6:3,European Tour 6 2013 Results & Historical Odds
06 Sep 2013,1.19,1.19,Whitlock S. - Tabern A.,6:4,European Tour 6 2013 Results & Historical Odds
06 Sep 2013,1.32,1.32,White I. - Clark M.,6:1,European Tour 6 2013 Results & Historical Odds
06 Sep 2013,1.07,1.07,van Gerwen M. - Temple T.,6:2,European Tour 6 2013 Results & Historical Odds
06 Sep 2013,1.62,1.62,Burnett R. - Richardson J.,6:5,European Tour 6 2013 Results & Historical Odds
06 Sep 2013,1.29,1.29,Hamilton A. - Hendricks J.,6:3,European Tour 6 2013 Results & Historical Odds
06 Sep 2013,1.25,1.25,Thornton R. - Scholten R.,6:3,European Tour 6 2013 Results & Historical Odds
06 Sep 2013,1.25,3.90,Lewis A. - Van der Voort V.,2:6,European Tour 6 2013 Results & Historical Odds
06 Sep 2013,1.41,1.41,Dolan B. - Caris M.,6:3,European Tour 6 2013 Results & Historical Odds
06 Sep 2013,1.28,1.28,Caven J. - Johnson D.,6:2,European Tour 6 2013 Results & Historical Odds
06 Sep 2013,1.19,4.48,van Barneveld R. - Smith D.,5:6,European Tour 6 2013 Results & Historical Odds
06 Sep 2013,1.30,1.30,Wright P. - Evans R.,6:1,European Tour 6 2013 Results & Historical Odds
06 Sep 2013,1.19,1.19,Jenkins T. - Rasztovits M.,6:1,European Tour 6 2013 Results & Historical Odds
06 Sep 2013,1.27,1.27,Nicholson P. - Seyler T.,6:3,European Tour 6 2013 Results & Historical Odds
06 Sep 2013,1.11,1.11,King M. - Kazimierz A.,6:1,European Tour 6 2013 Results & Historical Odds
06 Sep 2013,1.59,1.59,Artut J. - Pallett D.,6:3,European Tour 6 2013 Results & Historical Odds
06 Sep 2013,1.09,,Taylor P. - Pallett D.,canc.,European Tour 6 2013 Results & Historical Odds
06 Sep 2013,1.30,3.34,Anderson G. - Brown S.,2:6,European Tour 6 2013 Results & Historical Odds
06 Sep 2013,1.10,1.10,Newton W. - Langendorf M.,6:2,European Tour 6 2013 Results & Historical Odds
06 Sep 2013,1.49,1.49,Smith A. - Barnard M.,6:2,European Tour 6 2013 Results & Historical Odds
05 Mar 2017,6.33,1.12,Price G. - Wright P.,6:11,UK Open 2017 Results & Historical Odds
05 Mar 2017,4.83,1.19,Gurney D. - Wright P.,5:11,UK Open 2017 Results & Historical Odds
05 Mar 2017,2.17,2.17,Price G. - Norris A.,11:9,UK Open 2017 Results & Historical Odds
05 Mar 2017,1.44,1.44,Wright P. - van Barneveld R.,10:8,UK Open 2017 Results & Historical Odds
05 Mar 2017,1.77,2.06,Whitlock S. - Gurney D.,9:10,UK Open 2017 Results & Historical Odds
05 Mar 2017,1.77,2.06,White I. - Price G.,9:10,UK Open 2017 Results & Historical Odds
05 Mar 2017,1.65,2.24,Huybrechts K. - Norris A.,9:10,UK Open 2017 Results & Historical Odds
04 Mar 2017,7.15,1.11,Cross R. - Wright P.,6:10,UK Open 2017 Results & Historical Odds
04 Mar 2017,1.44,1.44,Gurney D. - Van der Voort V.,10:5,UK Open 2017 Results & Historical Odds
04 Mar 2017,1.60,1.60,Huybrechts K. - Cullen J.,10:9,UK Open 2017 Results & Historical Odds
04 Mar 2017,7.07,1.11,Tabern A. - van Barneveld R.,7:10,UK Open 2017 Results & Historical Odds
04 Mar 2017,1.72,2.15,Smith M. - Norris A.,6:10,UK Open 2017 Results & Historical Odds
04 Mar 2017,1.22,1.22,Whitlock S. - O'Connor W.,10:7,UK Open 2017 Results & Historical Odds
04 Mar 2017,1.95,1.87,Hogan P. - Price G.,6:10,UK Open 2017 Results & Historical Odds
04 Mar 2017,1.28,1.28,White I. - Lukeman M.,10:3,UK Open 2017 Results & Historical Odds
04 Mar 2017,2.85,1.43,Chisnall D. - Wright P.,5:10,UK Open 2017 Results & Historical Odds
04 Mar 2017,3.55,1.32,Wattimena J. - Smith M.,8:10,UK Open 2017 Results & Historical Odds
04 Mar 2017,1.17,1.17,Whitlock S. - van Duijvenbode D.,10:6,UK Open 2017 Results & Historical Odds
04 Mar 2017,4.75,4.75,Hogan P. - Lewis A.,10:6,UK Open 2017 Results & Historical Odds
04 Mar 2017,1.71,1.71,Cullen J. - Reyes C.,10:5,UK Open 2017 Results & Historical Odds
04 Mar 2017,4.17,1.24,Shepherd K. - White I.,7:10,UK Open 2017 Results & Historical Odds
04 Mar 2017,1.16,1.16,van Barneveld R. - Meulenkamp R.,10:3,UK Open 2017 Results & Historical Odds
